MAR,SCHL,WAGP,ESR,RAC1P
5,16,028000,3,2
5,21,059000,1,2
1,20,100000,1,1
1,18,045000,1,1
5,18,008000,1,1
1,21,006000,1,6
1,23,006000,1,6
5,08,,,6
5,08,,,6
5,05,,,6
1,19,000000,6,1
5,10,,,1
5,07,,,1
5,16,000000,6,5
1,21,070000,1,1
1,21,000000,6,1
5,12,000000,,1
5,12,,,1
5,08,,,1
3,21,091000,1,1
5,11,,,1
3,21,017000,1,1
1,20,060000,1,1
1,19,000000,6,1
5,13,000000,6,1
5,11,,,1
3,18,059000,1,1
5,14,000500,1,1
5,11,,,1
5,22,130000,1,1
1,16,000000,6,1
1,21,074000,1,1
1,16,004500,6,1
5,14,007400,6,1
5,09,,,1
1,01,000000,6,6
1,12,014400,1,6
5,03,,,6
5,01,,,6
1,21,033900,1,1
1,21,021000,1,1
1,16,000000,6,1
1,16,000000,6,1
1,21,150000,1,1
1,21,000000,6,1
5,11,,,1
5,09,,,1
5,09,,,1
1,21,000000,1,6
1,21,000500,1,6
5,21,004200,1,6
5,19,005300,1,6
5,17,008500,6,3
3,22,000000,6,1
1,21,000000,6,1
1,19,000000,6,1
5,19,035000,1,1
1,21,070000,1,1
1,16,000000,6,1
1,19,015000,1,1
1,21,000000,6,1
5,02,,,1
5,,,,1
5,,,,1
5,13,000000,6,1
1,06,000000,6,1
1,09,000000,6,1
5,15,012100,1,1
5,19,003500,1,1
1,18,050000,1,1
1,17,000000,6,1
3,18,027000,1,1
3,17,000000,1,1
5,20,044100,1,1
3,16,012200,1,1
3,16,000000,6,1
1,22,005200,1,1
1,21,000000,3,1
3,09,000000,6,1
5,06,,,1
5,04,,,1
5,01,,,1
1,18,012800,1,1
1,18,070000,1,1
1,20,045000,3,3
1,19,015400,1,1
1,19,080000,1,3
5,05,,,3
5,,,,1
1,19,000000,6,1
1,16,051000,1,1
1,17,025000,1,1
5,16,026000,1,1
1,17,000000,6,1
1,18,000000,6,1
5,16,025000,1,1
5,16,032000,1,1
1,22,050000,1,1
1,19,095000,1,1
5,09,,,9
5,07,,,9
5,06,,,9
1,22,050000,1,1
1,21,050000,4,1
4,01,000000,6,1
3,20,097000,1,1
2,16,000000,6,1
1,22,030000,4,1
1,21,023300,1,1
1,20,030000,1,1
1,01,010000,6,1
3,21,095000,1,6
3,15,015000,1,1
2,01,000000,6,1
3,19,070000,1,1
2,11,017600,1,1
1,16,036400,1,1
1,16,000000,1,1
5,01,,,1
5,,,,1
1,16,040000,1,1
1,20,000000,6,1
1,21,000000,1,1
3,14,000000,6,1
1,14,000000,6,1
1,16,000000,6,1
1,21,085000,1,1
1,21,120000,1,1
3,06,025000,1,1
3,16,018000,1,6
3,01,000000,6,6
5,10,005000,1,6
5,19,000000,1,1
5,04,,,8
1,17,000000,6,1
1,19,000000,6,1
1,24,000000,1,1
1,21,000000,1,1
3,18,025000,1,1
3,16,016500,1,9
5,19,000000,6,1
4,19,014400,1,1
1,21,047000,1,1
1,21,003700,1,1
5,19,000000,6,1
1,21,000000,6,1
1,21,003000,6,1
5,16,007600,1,1
5,06,,,1
5,,,,1
1,12,000000,6,1
5,16,045000,1,1
1,23,000000,6,1
1,21,000000,6,1
2,16,000000,6,1
5,19,027300,1,1
3,18,000000,6,9
5,23,089000,1,1
5,18,025000,1,1
1,17,040000,1,1
1,22,076000,6,1
5,20,000600,1,1
5,11,,,1
1,19,034000,1,1
1,19,061000,1,1
4,18,000000,6,1
5,21,070000,1,1
3,15,029000,1,1
1,16,000000,6,6
1,21,110000,1,6
1,18,004200,1,1
1,16,036000,1,1
1,18,000000,6,1
1,22,012000,1,1
5,16,000000,6,1
5,16,048000,2,1
2,14,000000,6,6
3,16,000000,6,1
5,21,000000,6,1
5,17,000000,6,1
3,21,316000,1,1
2,16,000660,6,6
1,01,000000,6,6
3,19,000000,1,9
5,10,,,1
5,08,,,1
5,,,,1
5,17,054000,2,1
1,21,000000,6,1
1,22,000000,6,1
1,17,012000,1,1
1,19,032000,1,1
1,16,015000,1,1
1,18,054000,1,1
1,18,000000,6,1
1,16,000000,6,1
3,18,036000,1,1
2,19,000000,6,1
1,22,090000,1,1
1,21,000000,6,1
1,21,000000,6,1
1,16,000000,6,1
2,19,000000,6,1
2,22,000000,6,1
2,18,000000,6,1
1,20,040000,1,1
1,21,065000,1,1
5,,,,1
5,19,018000,1,1
5,16,006400,3,1
5,19,035000,1,9
1,16,007000,3,1
1,16,044000,1,1
5,02,,,1
5,01,,,1
5,16,000500,6,1
2,16,000000,6,1
2,16,012000,3,1
4,18,028000,1,1
5,07,,,1
3,22,000000,6,1
5,18,000800,3,8
5,16,000000,6,1
5,20,052000,1,9
5,19,027000,1,1
5,13,029000,1,1
3,18,010000,3,1
1,18,065000,1,1
1,18,057000,1,1
5,16,000000,1,1
5,18,030000,1,1
5,14,000000,6,1
5,11,,,1
5,,,,1
1,16,000000,6,3
3,19,000000,6,9
5,21,021000,1,1
1,16,057000,1,1
1,19,005200,1,1
5,18,001200,1,1
1,22,071000,1,1
1,21,001600,1,1
5,19,007000,1,1
5,19,003000,1,1
5,13,000000,6,1
5,11,000000,,1
1,21,088000,1,1
1,19,050000,1,1
5,10,,,9
1,17,000000,6,1
1,17,000000,6,1
1,22,090000,1,1
1,22,000000,1,1
2,12,000000,6,1
1,18,054000,1,9
1,19,022000,1,6
5,20,050000,3,1
3,19,000000,6,1
3,21,036000,1,1
3,20,000000,6,1
3,19,039000,1,1
5,18,000000,1,1
1,15,000000,6,1
1,16,000000,6,1
5,17,000000,6,1
5,17,023000,1,1
5,13,000000,6,1
4,20,025000,1,2
5,07,,,2
5,06,,,2
5,,,,2
1,21,114000,1,1
1,20,075000,1,1
5,12,000000,6,1
1,16,020700,6,1
5,21,007000,1,9
5,19,006700,3,1
5,21,014400,1,6
5,21,032000,1,1
3,19,057000,1,1
5,12,,,1
1,22,100000,1,1
1,21,000000,6,1
1,18,031600,1,1
1,18,066000,1,1
1,18,000000,6,1
1,21,000000,1,1
5,18,036000,1,1
5,05,,,1
1,17,000000,6,1
1,12,037500,1,1
5,16,000000,6,1
5,19,004500,1,1
2,19,000000,6,1
1,19,000000,6,1
1,21,100000,1,1
1,19,020000,6,1
1,23,316000,1,1
5,21,035000,6,1
3,21,000000,6,1
5,19,030000,1,1
5,18,000400,6,2
5,18,030400,1,1
5,19,001700,1,1
5,19,000000,3,1
3,16,022000,1,1
1,19,003400,2,9
1,16,000000,3,1
1,14,000000,3,1
1,22,000000,6,1
1,21,000000,6,1
5,21,009800,1,1
5,21,016000,1,9
3,21,063000,1,1
5,02,,,1
5,21,100000,1,1
2,24,000000,6,1
3,19,000000,3,1
5,21,053000,1,1
5,19,011200,1,1
5,21,020000,1,1
5,19,005400,1,1
5,19,004500,3,1
2,13,000000,6,1
3,16,028000,1,1
3,14,000000,6,1
4,21,015100,3,1
5,09,,,1
5,07,,,1
5,05,,,1
5,04,,,1
3,21,068000,1,1
2,22,010000,1,1
1,20,068000,1,1
1,16,000000,6,1
1,19,002100,1,1
1,20,004000,6,1
5,12,000000,,1
5,04,,,1
1,19,020200,1,9
